Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950
Y_N_c,50,(-0.1288067784942415-0.006703454816740319j),(1.760689235882881-0.43099541376725603j),(1.475748718325549-0.5567937975085324j),(1.7775153223636067-0.3309224364445891j),(1.5069293131530186-0.49968984431475594j),(1.7575004683952824-0.33523996065210115j),(1.5467141819503403-0.42989571393202214j),(1.705064268693478-0.4052332626038864j),(1.5850673045033188-0.3770258944984459j),(1.6667108269630047-0.4226355692617726j),(1.6230868584238056-0.34738555235833535j),(1.6480970034369395-0.4049808413195002j),(1.6062419189137995-0.5127263240665186j),(1.6426287398468387-0.3750339090234731j),(1.5962922090294291-0.5865793654998355j),(1.6451883413913402-0.34394158832657756j),(1.611139524744444-0.53561182899779j),(1.6527080954997702-0.31637414174029654j),(1.6223074363331615-0.4818432230443628j),(1.6392010106476962-0.38766196817387577j),(1.6312943797243231-0.43473003680033595j),(1.6154714955555645-0.48154032117862594j),(1.639638254310967-0.39465514905739263j),(1.6163750250283657-0.4866665284276439j),(1.6461980912195788-0.3723182314601785j),(1.6223675085601008-0.4645876362575882j),(1.635506047344429-0.4138667620995166j),(1.6291881054972708-0.436121655460161j),(1.6239652591008213-0.4539919729926329j),(1.636231639963872-0.4072899005433729j),(1.6207000418208979-0.4679744805033028j),(1.6373936981760338-0.4060151876928245j),(1.6252730116609022-0.45294646552328804j),(1.6316595809521115-0.42660487007206366j),(1.631030818541293-0.4321461496476029j),(1.62593892053523-0.4451810776831545j),(1.6358332122703803-0.41526486515379174j),(1.6225939320397174-0.4565357691057875j),(1.6339909765475453-0.422456280296434j),(1.6257106867549713-0.4467699880633653j),(1.6307038675706296-0.433006323969253j),(1.630534836973591-0.43037926397784093j),(1.6276137217516424-0.441683648518296j),(1.6328980591992381-0.42495642385680543j),(1.6252899681265023-0.44749232968418085j),(1.631851010489554-0.42978658178946755j),(1.6270007906420103-0.44215335771833497j),(1.6300085701868074-0.43542096861840124j),(1.6304870120190218-0.4316205034714409j),(1.6283178130320184-0.43946388214772597j)
Y_N_c,150,(0.29886030919705137-0.029662075554453465j),(-1.8114033577537125+0.050602087471331325j),(-1.4029068337853245+0.5756474687722573j),(-1.9959757870416241-0.2013334631152267j),(-1.396063409472546+0.3829671359372725j),(-2.223151086088782-0.11261746763096248j),(-1.420206528017317+0.1508084261848498j),(-2.208940258741826+0.13177669815614623j),(-1.454774412177969-0.030027958004315403j),(-2.066430355610392+0.18546229207837872j),(-1.4932720367112728-0.14287099818758026j),(-1.930990650806819+0.1205496338901173j),(-1.5333218234514525+0.3403083103139545j),(-1.8324207487808626+0.014942835270705834j),(-1.64057450560606+0.5925253010234335j),(-1.7669566983984764-0.09461806768054726j),(-1.7335647356547845+0.4683539338951123j),(-1.725700624053844-0.19326188225553342j),(-1.764046962255311+0.3185437649957332j),(-1.706456854440032+0.007098604864934632j),(-1.7652514167697244+0.17861954694695203j),(-1.674960714820111+0.28383949554547316j),(-1.7554817958835442+0.05436603537538076j),(-1.7015994489996038+0.3103443273170136j),(-1.745592156848015-0.020325134329210903j),(-1.72468407330477+0.2535559802827678j),(-1.7346196150898499+0.09785860822777964j),(-1.735546542031426+0.17254239472881028j),(-1.7132017617758146+0.2140675004926827j),(-1.7383261397516634+0.0864064405379118j),(-1.7063473122818538+0.25624872396773585j),(-1.740026672275033+0.07971131525308162j),(-1.719610992486266+0.21594589718941276j),(-1.734871947643793+0.13886978320874294j),(-1.7295039414638786+0.1565993827868229j),(-1.722542424514469+0.1922335911751219j),(-1.734851434577704+0.10667622080650152j),(-1.7095106784004044+0.2242344338045965j),(-1.7380788415120851+0.12763923816333156j),(-1.715372925366935+0.19704959334705707j),(-1.7351547707842512+0.158368634241926j),(-1.7231548026490762+0.1498992876080979j),(-1.7274043422774386+0.18320029326390258j),(-1.7307800538955227+0.1341605117707394j),(-1.716710544176467+0.19904587177617206j),(-1.7344981030487006+0.14875093914679105j),(-1.7161495007746437+0.18321898580886475j),(-1.7331582836600132+0.16548910698328712j),(-1.7219631975005925+0.15264986399762487j),(-1.7282863008780132+0.1770938875266288j)
Y_N_c,250,(-0.45292226608598674-0.02938717560655757j),(1.7766189717391008+0.3100556608962184j),(1.2747092778266114-0.5813320711455353j),(2.212975705538338+0.6846890996938807j),(1.1498678505772835-0.26675553643574007j),(2.9098361964412476+0.5088780471101222j),(1.0887279258126394+0.1188673222516115j),(3.030666656801976+0.10547180210504259j),(1.0723441868370083+0.4242844273288233j),(2.719250105500262+0.009369924864856993j),(1.083435145072769+0.6200063111150007j),(2.35787762521447+0.1144475890793033j),(1.3364011231625466-0.11058503002978237j),(2.0636194915548463+0.2933045698410187j),(1.7135855838852334-0.5419176375147038j),(1.84607646935165+0.4824703877866696j),(1.9238824155391168-0.3887782382190303j),(1.6901954821680625+0.6552065135089913j),(1.95997895875833-0.17266816021438236j),(1.703078207126963+0.37020158216344745j),(1.9183613575951117+0.04268326325437233j),(1.7201360879420695-0.0551940962031825j),(1.8490114145861452+0.24183445169692386j),(1.797009253598742-0.11796318977678194j),(1.792499148056866+0.3706919780480762j),(1.8374372257578473-0.04737511976354991j),(1.808070874657146+0.20491329471298914j),(1.8374080438954024+0.06967642778838379j),(1.7960297331055604+0.03102669851104034j),(1.81323045416352+0.20158092974574804j),(1.7918515378977873-0.03872503186088927j),(1.8144051266381727+0.2196406996493584j),(1.810633803330788+0.014484665538379904j),(1.824328395512354+0.1358544268027707j),(1.8140435399891675+0.10030623212369472j),(1.8129985659992278+0.05664182078648805j),(1.8087942756986748+0.17597273793692614j),(1.7901460360564116+0.00712868638327524j),(1.8259315147689823+0.1481491864382034j),(1.7940778071081906+0.044203808068585926j),(1.8311244487880236+0.10392211361994419j),(1.7959131200655387+0.11298577291612821j),(1.8212153205819734+0.06705842388276384j),(1.8090045087168536+0.1377621590136089j),(1.7995030979627853+0.043010600543567534j),(1.8246311396373578+0.11725777236272727j),(1.7909444243380823+0.06526513037252646j),(1.8283353651881844+0.09245746654097942j),(1.7934496081973754+0.11032612622576599j),(1.8207946846271337+0.07488324993256146j)
Y_N_c,350,(0.5394266510627939+0.15926549597859765j),(-1.6621689153785293-0.6205191642467089j),(-1.0994346350775184+0.5797936640649579j),(-2.4046027886656414-1.0957968157360964j),(-0.7899081828619917+0.18448173400533885j),(-3.715840938265326-0.8853062713173363j),(-0.5818283517243353-0.3244240784529545j),(-4.059044060305734-0.36777831252927284j),(-0.4710697234460208-0.7380956030173591j),(-3.556500266471375-0.20224060444217629j),(-0.4283730886782091-1.0097117977315766j),(-2.8985542540729425-0.3085233571958572j),(-1.0010193832727072-0.1730405040994598j),(-2.3312720488532106-0.5309991364269022j),(-1.761687286221783+0.39665490616763976j),(-1.8930331964953182-0.780629595584855j),(-2.12947936670556+0.2689995680205033j),(-1.566061166759559-1.0160073756466566j),(-2.172759648165124+0.03552053805141975j),(-1.6259655470317462-0.7208318804543571j),(-2.0696002067009993-0.2188684526170025j),(-1.7321234339760165-0.2126420872480378j),(-1.9129127420973777-0.4672831514107987j),(-1.8769942826701567-0.10104890147087653j),(-1.7858822610040102-0.6440771340325726j),(-1.9372222166531743-0.15589305866195613j),(-1.8423139430505187-0.4789408028724207j),(-1.9178849472092958-0.28076802712083615j),(-1.8543726939415501-0.2795615323391848j),(-1.85170767503394-0.43509457957067943j),(-1.8587399160868328-0.18608094398845243j),(-1.8491394460641732-0.47163234528669196j),(-1.880832505264767-0.23454087360031028j),(-1.8830797596328481-0.3865008946668398j),(-1.8706313478313126-0.326892511103972j),(-1.8794314431558552-0.2963831290486376j),(-1.8467209364960198-0.4145517887378134j),(-1.8486782272720588-0.23424669237118267j),(-1.8819591535317524-0.39137503904289084j),(-1.84736924535137-0.2698580456361265j),(-1.900542410421174-0.344971497815697j),(-1.8367869843758786-0.3451405040677705j),(-1.8913992980438192-0.3026438395607606j),(-1.8539575640883923-0.376899763169138j),(-1.8584954139496497-0.2724632239213246j),(-1.8853703504740205-0.3575378244401489j),(-1.838340313403206-0.29419382699734864j),(-1.897533896569582-0.3300842777865334j),(-1.8329522808466714-0.34453033154643087j),(-1.8886961434331306-0.30893864898057066j)
Y_N_c,450,(-0.530855897160907-0.3117468044978573j),(1.4820140309818408+0.8561324930358757j),(0.8894470242047086-0.5771122194523217j),(2.544483008176931+1.414575983298275j),(0.3517518847392078-0.1616904919470266j),(4.506559792931689+1.2594536657887256j),(-0.04978060239205703+0.42327838629371234j),(5.1393244955486725+0.6953411167725814j),(-0.29075829844299445+0.9175168534213939j),(4.48015584360569+0.4246534097854806j),(-0.410307091736182+1.2519550339141037j),(3.5109410194111623+0.4720573881075867j),(0.5121502284584365+0.49104072599835596j),(2.632066406205026+0.687625753262431j),(1.7109180755961906-0.14040404247830074j),(1.9292366075392309+0.9616981798533771j),(2.2780666659277893-0.09082180975906606j),(1.3902658953041807+1.2355843665184683j),(2.3524417478889337+0.1013953419423419j),(1.4776642613829538+1.0175690386671674j),(2.1934749502477646+0.34562115047660313j),(1.6863923339846965+0.5140437499251493j),(1.9427097210945972+0.6051558107811862j),(1.907760915657208+0.34873007786845j),(1.7314764028590588+0.8150372627411319j),(1.9943720955866886+0.35653858715539155j),(1.8238768660049685+0.7063887496281354j),(1.957656963992883+0.4547594891086423j),(1.8659680039543853+0.5225080147329565j),(1.846448006834557+0.6002524434444042j),(1.8835084564195683+0.41372808372537906j),(1.8343247380803314+0.6599180944560137j),(1.9090397169508408+0.43907081880745j),(1.8923324921145752+0.6003572637376894j),(1.8840784444424212+0.5143781398321104j),(1.90041164059059+0.5179525640080412j),(1.838707248302178+0.5960524136364765j),(1.8657365268389814+0.4501488711387507j),(1.8896515165946774+0.589736763532984j),(1.8584885152288289+0.47216372935866746j),(1.9227265656530208+0.5544233146917034j),(1.8333842100630244+0.5360998537120374j),(1.9171005522834417+0.5147544970599268j),(1.851616699356403+0.5715486578377283j),(1.875730912177826+0.48113305000822426j),(1.8979943271076296+0.5613593020656237j),(1.8436974164420388+0.49450036293566735j),(1.920015568532729+0.5378297265186492j),(1.828054391589177+0.5391024088139036j),(1.9120026610998035+0.516166880365273j)
Y_N_c,550,(0.43221163945664587+0.433363150395838j),(-1.2560070355570874-1.000852020812514j),(-0.6601913478482598+0.5757816677935746j),(-2.6087125249972622-1.6288318317335655j),(0.11889191653586723+0.20994755691087671j),(-5.139260754050023-1.6262501727271297j),(0.7408599636395657-0.3899601465554934j),(-6.098987623895728-1.0950189921972764j),(1.1371639213525346-0.9283333304870347j),(-5.375713667761467-0.6912269923004255j),(1.3517391225574462-1.3074510688277416j),(-4.144370538367746-0.6144010805505076j),(0.13655221353608718-0.805037507590333j),(-2.9623701159222007-0.7617018856679451j),(-1.484227649689711-0.2128569880927076j),(-1.982344504762093-1.0130992777586827j),(-2.2902925966671708-0.14727520544693462j),(-1.2107848077780803-1.291944242221667j),(-2.4430000058197807-0.24247151421266666j),(-1.269627840816997-1.2297513701118632j),(-2.2618157758960953-0.42358779825180315j),(-1.560723070430201-0.8256452513853703j),(-1.9353088285952111-0.6496958318464818j),(-1.8550114226888499-0.6142495433520999j),(-1.6398843887385914-0.8696187438113379j),(-1.9781864790166601-0.5501541437444895j),(-1.74318319295398-0.8665936873379791j),(-1.937408063075421-0.5881685951085922j),(-1.8099536569300694-0.7411188296888164j),(-1.792063129524557-0.6912458370547911j),(-1.8427736904454532-0.630968041471255j),(-1.7632119970810964-0.7724812899804727j),(-1.8743219771355564-0.6193475066782619j),(-1.8356387238883012-0.7619997607381558j),(-1.84021115857928-0.6557495279779997j),(-1.8556268291571598-0.7064277146153839j),(-1.7769899276298806-0.7124068876228273j),(-1.822352750815025-0.6420962713107908j),(-1.834815923513656-0.7314164622454021j),(-1.8113970619021038-0.6410877910098172j),(-1.8786904238470008-0.7190600005592486j),(-1.7747771785193356-0.6771765276637831j),(-1.878482947989728-0.6905054795826049j),(-1.790040621161686-0.711461503393899j),(-1.833907318486345-0.6571657228294614j),(-1.8457161588358595-0.7167830100337823j),(-1.7933278260474257-0.6558117937623494j),(-1.8765068239533345-0.7033956723250738j),(-1.7679421905868185-0.6842143500802929j),(-1.8717840922971942-0.6846805347483246j)
Y_N_c,650,(-0.2769671089257498-0.48472342046563777j),(1.0071993051006292+1.0485426952069006j),(0.42813213435816566-0.576142930953161j),(2.5784747475604712+1.7297505960606603j),(-0.5742295050299699-0.33104515547470403j),(5.48853776566124+1.953531262203078j),(-1.4201290388040826+0.21874531020713495j),(6.777406805903885+1.5374944616739747j),(-1.98351634651394+0.7602884924800546j),(6.127995402133171+0.9963685153386228j),(-2.3051796540543243+1.1622549985133803j),(4.744150987962458+0.7422900983480041j),(-0.9330460491831655+1.0618483020530278j),(3.3162759371681094+0.7612207104694346j),(1.0210849920034084+0.6184576384561868j),(2.0807919355926923+0.9391061415059891j),(2.094728860559348+0.4278243897351851j),(1.079233161123137+1.184305781207346j),(2.3904709715887646+0.38609560576194646j),(1.0252080238726817+1.3271480269077294j),(2.246305794362049+0.45769498045754253j),(1.3442761678550093+1.1081163512428371j),(1.887534755599018+0.6068281596650537j),(1.6930024400770203+0.873580630635536j),(1.5242147724457915+0.8073338396875673j),(1.8633048106564365+0.7267445791431258j),(1.5985285384595247+0.9386691322857578j),(1.8409651641652705+0.6794787294192732j),(1.6732460211359041+0.9085792369502932j),(1.685299414453433+0.7105531247438874j),(1.7194068174365995+0.8162426795139105j),(1.6339629105727138+0.8030721802277321j),(1.7607145973069422+0.7629460264755358j),(1.7035088823335864+0.8550149852974627j),(1.7286296625105106+0.745635422504782j),(1.7312745453553506+0.8422781929206804j),(1.657396641793829+0.7608512079250959j),(1.7047344376518327+0.7923060755686306j),(1.709160155296639+0.8062128345952447j),(1.694497234671334+0.7645922260894646j),(1.7559973534691897+0.8240218671042623j),(1.6538268142880896+0.7616474644837354j),(1.7616529019700278+0.8139074331741201j),(1.6622349591087766+0.788513625100961j),(1.7205455526786495+0.7857346610009954j),(1.7179251420843245+0.8116506023584042j),(1.6776669013290961+0.7668962489497877j),(1.7539877232477115+0.8127148562431574j),(1.6458977468599274+0.7715216506709696j),(1.7547335964405724+0.8004164541002806j)
Y_N_c,750,(0.1128510422460468+0.4531409225164692j),(-0.758882779568752-1.0032649106640315j),(-0.20904699384150738+0.5760459303366596j),(-2.444186908535235-1.715209831645023j),(0.968378069677547+0.5107767931052195j),(-5.473222923312056-2.1959891230510777j),(2.016986146866875+0.07180618369295944j),(-7.054002043826599-1.9643068895940048j),(2.746480282312188-0.4280424366935828j),(-6.637074961416932-1.3152247137846917j),(3.180396022803778-0.8289763229714802j),(-5.256576580492294-0.8588125950705776j),(1.8401005815470088-1.2028581568411714j),(-3.683744908186023-0.7026326715469651j),(-0.29486668899218776-1.0081383548978757j),(-2.2480233795225746-0.7604022133221622j),(-1.6422461514824307-0.7162868416508889j),(-1.0429076446925054-0.9332529093806081j),(-2.151211481414258-0.5241353408949095j),(-0.7805661406240941-1.2858681759970654j),(-2.1212186589137363-0.4559567127520264j),(-1.0450533843481193-1.3125725293391906j),(-1.794700315427144-0.4930874637539724j),(-1.4127364408095027-1.0924803257656073j),(-1.3971688686673496-0.6416056999048867j),(-1.6357583393553776-0.8712977141732976j),(-1.398534463310638-0.9059086221996306j),(-1.658359086785969-0.7285691864437828j),(-1.4556874573636687-0.994665743014598j),(-1.5252018926506161-0.6680164101932289j),(-1.5079032086372597-0.9426999854936485j),(-1.4505981194993813-0.7526224393518159j),(-1.5615028358846166-0.8549252813000136j),(-1.496850245882158-0.8653296988325285j),(-1.5452109257810391-0.7803371061048381j),(-1.524495425362678-0.9047831472333303j),(-1.4804439255431827-0.7438583453329168j),(-1.5084146849848146-0.8805708880950626j),(-1.5129601208203665-0.8074383847403741j),(-1.5039162679899905-0.8299830899687863j),(-1.5526096774263678-0.8555540627685767j),(-1.4691967984577512-0.7851312500314679j),(-1.5627657742245726-0.8685411785687491j),(-1.4683728126735698-0.7977749837020383j),(-1.53159817765899-0.8512042465918415j),(-1.5135058570647186-0.835678927748949j),(-1.4940383284244507-0.8169863458414336j),(-1.5495800478631383-0.8523564761748404j),(-1.4613682136011643-0.7950100565912307j),(-1.5569995131464258-0.8493628576105627j)
Y_N_c,850,(0.016246826006619836-0.3542081158195972j),(0.5317575462073366+0.878316134996239j),(0.016393819018379746-0.5713694637243366j),(2.207574748746436+1.5900364315912419j),(-1.2642275542520929-0.724230126460025j),(5.068902216501806+2.3003517053774276j),(-2.474009535746383-0.4494201330525044j),(6.866141595397558+2.2971458197883123j),(-3.354215594126071-0.03212922355781744j),(6.83190986309085+1.6086453096437112j),(-3.8977354568469362+0.3445287726414745j),(5.6338940921233025+0.9630511781785833j),(-2.7938053780378005+1.1767654746710254j),(4.049328302355943+0.608488512147535j),(-0.6757980628931566+1.3032409214587726j),(2.497364320062474+0.5112262019354787j),(0.9172476303104263+0.966853416527518j),(1.1373862625252784+0.5779096441936945j),(1.6991320307638444+0.6428875098134341j),(0.5824805068237283+1.0950725618848225j),(1.8661923393339697+0.42794022834172596j),(0.6936840707863435+1.3904617453314263j),(1.6496455312367524+0.3330028395467673j),(1.027525420708026+1.232328989913618j),(1.267997507610434+0.39848950477743933j),(1.2976339820350802+0.9657811740890639j),(1.1620974015175132+0.7610015979511706j),(1.3884038816353659+0.7362240626860317j),(1.1725375114959287+0.9725311660826021j),(1.3133455284873032+0.5789351766754482j),(1.2177262553461987+0.9832488133367864j),(1.2228158527469017+0.6302167735172723j),(1.282179500174574+0.8801795423291334j),(1.228257249369861+0.7853869000583039j),(1.2939263653679978+0.7580616090043382j),(1.2457171553804636+0.8769170838540353j),(1.2519201814419993+0.668637494021973j),(1.2408071019368092+0.8883301340952218j),(1.2561263778217016+0.7340961072447276j),(1.2456520469474135+0.8261467059151157j),(1.278758059860911+0.8046647478057278j),(1.2266696752084438+0.7461434442557464j),(1.2903275420923692+0.8413949374211525j),(1.2168536974368815+0.7387408446020295j),(1.2736720634419636+0.8403738980808557j),(1.242411193769279+0.7831712247825842j),(1.2484141044823147+0.7977829922620273j),(1.2725912118807767+0.8128499839271108j),(1.2211649888205542+0.7521073965296045j),(1.2863889018623218+0.8207677393492946j)
Y_N_c,950,(-0.08488660360444779+0.22274250469039136j),(-0.34161141728629624-0.6941928552832762j),(0.13995916512969964+0.5569225053110016j),(-1.8822238447776432-1.3665415664701743j),(1.4376786109374144+0.939060206381464j),(-4.314008973366803-2.224058953382669j),(2.7495925116911257+0.8650785769325001j),(-6.223974361102479-2.464591348581533j),(3.7512723700342816+0.5630544606779888j),(-6.680363058117791-1.8321049173351112j),(4.396622074969658+0.2352015056004202j),(-5.838733742411666-1.0504260561287997j),(3.7085746338600476-0.9527400700345993j),(-4.391861856884704-0.5040920156194502j),(1.8243662565409653-1.4312166844120442j),(-2.8283735756515207-0.23452112571585426j),(0.05626579335918075-1.1310230542178525j),(-1.380750201394894-0.17055697564230016j),(-1.0308836102616385-0.7253147620165113j),(-0.4827546934430436-0.7627898520608819j),(-1.468834040977418-0.3831239933567287j),(-0.342206981433352-1.3048987915623336j),(-1.4425964676258238-0.15532773793065946j),(-0.5746046357865902-1.257768819558303j),(-1.139837043703936-0.1136746510285635j),(-0.8694675733002488-0.9922489281836964j),(-0.9154495279080608-0.5106752914682386j),(-1.0404237690170297-0.7038216168076066j),(-0.8534301000610345-0.8261403248615501j),(-1.0542070974765332-0.46148735712169964j),(-0.8737262177634217-0.9166884051143077j),(-0.9646452410287902-0.4531467258398544j),(-0.9414061935779995-0.8265611590785746j),(-0.9206705113149305-0.618051126496121j),(-0.98761967734476-0.6793425984518235j),(-0.9182093728040492-0.7505915376253546j),(-0.9828499304510656-0.5462289438954028j),(-0.9214884320003407-0.8033728633046106j),(-0.9573452498300556-0.5926617398779748j),(-0.9360609013683314-0.746261869584876j),(-0.9562833490043701-0.6707459586472363j),(-0.9394665200677974-0.6467426463689459j),(-0.9650642009194597-0.7269742963790734j),(-0.9239192785977731-0.6163589036691743j),(-0.9642937383322827-0.7461205450707986j),(-0.925041272144578-0.6556096594096215j),(-0.9557349906098314-0.7057479241518608j),(-0.944151569272623-0.6920956081855343j),(-0.9394918758961953-0.6448184444645599j),(-0.962364082633139-0.7105835101720587j)
